company_name,sector,industry,market_cap,business_summary,risks,strategy
Thai Oil Public Company Limited,Energy,Oil & Gas Refining & Marketing,79859621888,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining and distributions, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Aromatics and LAB, Power Generation, Solvent, Ethanol, Olefins, and Others segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract, and slack wax. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; solvents for paints and mining; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.",,
Krungthai Card Public Company Limited,Financial Services,Credit Services,72193351680,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also involved in the merchant acquiring, payment services, provincial retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is headquartered in Bangkok, Thailand.",,
Muangthai Capital Public Company Limited,Financial Services,Credit Services,69959999488,"Muangthai Capital Public Company Limited engages in the lending business in Thailand. The company operates through two segments, Lending Business and Hire Purchase. It offers loans that are secured against vehicle registrations, land title deeds loans, and nano finance, as well as personal loans without collateral. The company also provides car, motorcycles, and agricultural vehicle title loans. In addition, it offers installment loans and insurance brokerage services. The company was formerly known as Muangthai Leasing Public Company Limited and changed its name to Muangthai Capital Public Company Limited in April 2018. Muangthai Capital Public Company Limited was founded in 1992 and is headquartered in Bangkok, Thailand.",,
SCG Packaging Public Company Limited,Consumer Cyclical,Packaging & Containers,66110967808,"SCG Packaging Public Company Limited provides consumer packaging solutions in Thailand, Vietnam, Indonesia, China, and internationally. It operates through Integrated Packaging Business, Fibrous Business, and Recycling Business and Corporate segments. The Integrated Packaging segment offers fiber packaging, such as corrugated containers, including regular stolled containers, die cut containers, and logistics packaging; and retail display packaging products comprising folding cartons, gift sets, and counter and pop-tech displays, as well as packaging paper products, including containerboard, coated duplex board, and sack kraft; and non-packaging paper products consisting of plasterboard liners, core boards, and grocery and industrial bags. This segment also includes consumer and performance packaging comprising flexible packaging products comprising consumer, industrial, and specialty packaging; rigid packaging products consisting of thermoformed products, and blow molding, injection molding, and extruded tube products; and medical supplies and labware. Its Fibrous Business segment includes foodservice products; eucalyptus and dissolving pulp products; and printing and writing paper products, such as copy and graphic paper. The Recycling Business and Others segment includes packaging materials recycling and investment services. It also provides circular economy, small lot, convenience, smart and functional, e-commerce, marketing events, and automated solutions; plantation and biobased solutions comprising wood chips for biomass and soil conditioners; forestry services; graphic and packaging design; printing; exhibition; and training and seminars. The company was formerly known as SCG Paper Public Company Limited and changed its name to SCG Packaging Public Company Limited in June 2015. The company was founded in 1975 and is based in Bangkok, Thailand. SCG Packaging Public Company Limited is a subsidiary of The Siam Cement Public Company Limited.",,
Asset World Corp Public Company Limited,Consumer Cyclical,Lodging,64666202112,"Asset World Corp Public Company Limited invests in, develops, and manages real estate properties in Thailand. It operates through two segments: Hotel and Related Services, and Rental and Rendering of Commercial Building Services. The company owns and develops hotel; lifestyle destinations, community shopping malls, and community markets; and mixed-use properties. It also operates digital commerce platforms; management services; and engages in property leasing activities. Asset World Corp Public Company Limited was founded in 1960 and is headquartered in Bangkok, Thailand.",,
Ratch Group Public Company Limited,Utilities,Utilities - Regulated Electric,63618752512,"Ratch Group Public Company Limited, an energy and infrastructure company, engages in the generation and sale of electricity and steam in Thailand, Australia, Singapore, Indonesia, and internationally. The company operates through four segments: Domestic Electricity Generating, Domestic Renewable Energy, International Power Projects, and Domestic Related Business and Infrastructure. It generates electricity through natural gas, coal, and fuel oil, as well as solar and wind power, hydropower, and biomass renewable projects. The company also offers power plant operation and maintenance services, as well as invests in the power energy business. Ratch Group Public Company Limited was incorporated in 2000 and is headquartered in Nonthaburi, Thailand.",,
Berli Jucker Public Company Limited,Industrials,Conglomerates,61720068096,"Berli Jucker Public Company Limited manufactures, distributes, and services for packaging, consumer, healthcare and technical, and modern retail supply chain businesses in Thailand. It designs, manufactures, markets, and distributes glass, aluminum cans, and plastic packaging products. The company also provides Cellox facial tissues and toilet papers, Zilk toilet papers, Maxmo multi-purpose papers, Tasto potato chips, Dozo rice crackers, Party and Campus extruded snacks, Parrot soaps, and Dermapon baby soaps; and logistics services. It distributes pharmaceutical and healthcare products, medical imaging, and medical equipment and supplies; solutions for graphic, stationery, and specialty products; and industrial chemical ingredients, engineering products and systems, galvanized steel structures, and digital printing technology. The company also operates network of multiple physical and online store; and wholesale business serving B2B customer, bookstore, coffee shop, and drug store businesses. It provides food supplement and cosmetics; offers customs clearing, warehousing, transportation, and distribution services; manufactures snack food and dairy products; operates a non-alcohol beverage shop; sells imaging products, construction supplies, and animal feeds; and provides confectionery, sanitary paper, tofu, soymilk, and kimchi products. The company also offers agent and investment services; rental spaces; seminar and training center; consultant services for product analysis and data collection; land transport and freight services; solar and wind power, real estate, bill payment, information, franchise, and e-commerce services; and real estate consulting and merchandise sourcing services, as well as invests in energy business; trades in equipment for power systems; and retails books and magazines. The company was founded in 1882 and is based in Bangkok, Thailand.",,
Thanachart Capital Public Company Limited,Financial Services,Credit Services,60294782976,"Thanachart Capital Public Company Limited, an investment holding company, offers various financial services in Thailand. It operates through The Company, Securities Business, Life Insurance Business, Non-Life Insurance Business, Asset Management Business, Hire Purchase and Leasing Business, and Other Businesses segments. The company engages in asset-based financing comprising term loan and working capital; asset investment, commercial banking, non-performing asset management, and investment businesses; and provision of life, personal accident, and health insurance products, as well as insurance for protection of individuals who are property loan borrowers. It also provides securities brokerage, investment advisory, and financial advisory services, as well as operates as a unit trust underwriting and repurchasing and securities registrar; and stock, qualitative, technical, derivatives product, and mutual fund analysis, as well as economics and market strategy services. In addition, the company offers non-life insurance products in the areas of fire, automobile, marine and transportation, and miscellaneous; life and health insurance products to individuals, institutions, and organizations; and auto hire purchase and financials leasing services for passenger cars, as well as vehicles for commercial purposes, such as pick-ups, taxis, truck tractors and lorries, etc. The company was formerly known as National Finance Public Company Limited and changed its name to Thanachart Capital Public Company Limited in April 2006. Thanachart Capital Public Company Limited was incorporated in 1959 and is based in Bangkok, Thailand.",,
Electricity Generating Public Company Limited,Utilities,Utilities - Independent Power Producers,60017008640,"Electricity Generating Public Company Limited, together with its subsidiaries, generates and sells electricity to government sector and industrial users primarily in Thailand, Laos, the Philippines, Indonesia, Australia, South Korea, Taiwan, and the United States. It operates through Electricity Generation and Other Businesses segments. The company generates electricity from various resources, such as biomass, hydropower, solar and wind power, battery energy, and fuel cell. It also involved in operation, maintenance, engineering and construction services to power plants, petrochemical plants, oil refineries and other industries; coal mining, management, and oil pipeline business, as well as engages in developing real estate activities. It operates power plants with total capacity of 7,042 Mw equity and projects under construction and total equity contracted capacity of 1,486 Mw. Electricity Generating Public Company Limited was incorporated in 1992 and is based in Bangkok, Thailand.",,
Tidlor Holdings Public Company Limited,Financial Services,Credit Services,53864292352,"Tidlor Holdings Public Company Limited provides auto-for-cash loans to self-employed microentrepreneurs in Thailand. The company offers title loans for motorcycles, sedan-pickups, trucks, and used trucks; and various insurance products, such as auto, truck, motorcycle, cancer, personal accident, home, travel, and third party, as well as hire purchase for vehicles. It also acts as a life and non-life insurance broker. Tidlor Holdings Public Company Limited was founded in 2006 and is based in Bangkok, Thailand.",,
Kiatnakin Phatra Bank Public Company Limited,Financial Services,Banks - Regional,53238419456,"Kiatnakin Phatra Bank Public Company Limited, together with its subsidiaries, engages in the provision of various banking products and services for commercial and public customers in Thailand. It operates through Commercial Banking Business, Capital Market Business, and Debt Restructuring segments. The company offers savings and fixed accounts, fixed deposit, and foreign current deposit; auto, personal, and home loans, as well as caequickcash; life and health, and other insurance products; and investment products. It also provides business banking products, including welfare package; specialized industrial, and apartment and hotel lending; and asset services. In addition, the company offers SME freedom business loans; letter of guarantee; debit card; car auction; and e-banking services. The company was formerly known as Kiatnakin Bank Public Company Limited and changed its name to Kiatnakin Phatra Bank Public Company Limited in August 2020. Kiatnakin Phatra Bank Public Company Limited was founded in 1971 and is headquartered in Bangkok, Thailand.",,
Com7 Public Company Limited,Consumer Cyclical,Specialty Retail,49925963776,"Com7 Public Company Limited, together with its subsidiaries, engages in the retail business of information technology (IT) products in Thailand. It sells IT products, mobiles, and accessories. The company also provides repair services for IT gadgets; financial services for mobiles, and other related services, as well as sells pet feeds. It is involved in software development; operating of training centers; provision of car, fire, marine, and other insurance products, as well as ICT infrastructure solutions; sale of pet food, equipment and supplies, and solar cells. The company operates a chain of retail stores, as well as engages in the wholesale business. Com7 Public Company Limited was founded in 2004 and is based in Bangkok, Thailand.",,
Banpu Public Company Limited,Energy,Thermal Coal,49693757440,"Banpu Public Company Limited engages in the coal mining and power businesses. The company operates coal projects in Indonesia, China, Australia, and Mongolia; natural gas projects in the United States; thermal power plants in Thailand, Lao PDR, and China; and renewable energy power plants in Japan, China, and Vietnam. It provides solar rooftop and installation solutions for industries and large businesses; energy storage solutions; electric vehicle and fleet management services; consultation services on customized energy management system; and smart clean energy solutions. The company is also involved in the investment in power and renewable energy projects; research and development business; and coal trading and management consultation businesses. The company was formerly known as Ban Pu Coal Company Limited and changed its name to Banpu Public Company Limited in July 1993. Banpu Public Company Limited was founded in 1983 and is headquartered in Bangkok, Thailand.",,
Thai Union Group Public Company Limited,Consumer Defensive,Packaged Foods,49345200128,"Thai Union Group Public Company Limited, together with its subsidiaries, manufactures and sells frozen, chilled, and canned seafood in Thailand and internationally. The company operates through four segments: Ambient Seafood; Frozen and Chilled Seafood and Related Businesses; Pet food; and Value-Added and Other Businesses. It provides ambient seafood products, including tuna, sardines, mackerel, herring, and salmon for retail and wholesale customers; frozen and chilled seafood, such as shrimp, lobster, and fishes that are sold directly to restaurants, hotels, caterers, and retail customers; ready-to-cook or ready-to-serve products, as well as bakery treats; marine ingredients for use in consumer goods, such as infant formula, cosmetics, dietary supplements, and clinical nutrition; and pet care products comprising wet-based food and treats. The company offers its products under the Chicken of the Sea, Genova, John West, Hawesta, Ostsee Fisch, LYSELL, Petit Navire, Parmentier, King Oscar, Mareblu, Rügen Fisch, Sealect, Fisho, QFresh, MONORI, Bellotta and Marvo, and Thammachart seafood. It manufactures and distributes animal feeds, frozen food, aquatic animals, ingredient products, canned tuna, seafood, food supplement products, and smoked salmon products, as well as distributes shrimp feeds. In addition, the company offers packaging, printing, training and management, e-commerce, consultancy, technical, and property rental services. Further, it is involved in the tuna oil refinery, shrimp farming, and shrimp breeding and hatchery businesses; import and distribution of pet food and pet related products; import of seafood; and operation of seafood restaurant outlets. The company was formerly known as Thai Union Frozen Products Public Company Limited and changed its name to Thai Union Group Public Company Limited in September 2015. The company was founded in 1977 and is headquartered in Mueang Samut Sakhon, Thailand.",,
WHA Corporation Public Company Limited,Real Estate,Real Estate Services,48128806912,"WHA Corporation Public Company Limited, together with its subsidiaries, develops, rents, and sells lands, buildings, factories, warehouses, and other properties in Thailand and internationally. It also develops and manages of properties in industrial estates and zones. In addition, the company provides digital, data center, Internet connection, and other IT services; and public utilities, facilities, and other related services. Further, the company offers raw and industrial water, and wastewater treatment services, as well as renewable energy solutions. WHA Corporation Public Company Limited was founded in 2003 and is headquartered in Samut Prakan, Thailand.",,
Osotspa Public Company Limited,Consumer Defensive,Beverages - Non-Alcoholic,47459250176,"Osotspa Public Company Limited, together with its subsidiaries, manufactures and distributes energy drinks and personal care products in Thailand and internationally. It operates through three segments: Beverage, Personal Care, and Others. The company offers energy drinks under the M-150, Lipovitan-D, Som in Sum, and White Shark brands; sport drinks under the M-Electrolyte brand; and functional drinks under the Peptein, C-Vitt, and Calpis Lacto brands. It also provides baby care products under the Babi Mild and Ultra Mild by Babi Mild brands; male grooming products under the Exit brand; women's beauty care products under the Twelve Plus, PROhada, and OTG brands; healthcare products under the Krisnaklan, Utaitip, Tamjai, Yathad 4, and Banner brands; and confectionery products under the Botan and Ole brands. In addition, the company offers marketing, property rental, and research and development services. Further, it engages in the manufacture and distribution of glass; distribution of beverage and cullet products; import, retail, and wholesale of beverages; investing in other companies; electronic commerce and education businesses; and sale of herbal products. The company was founded in 1891 and is headquartered in Bangkok, Thailand.",,
Carabao Group Public Company Limited,Consumer Defensive,Beverages - Non-Alcoholic,44500000768,"Carabao Group Public Company Limited, through its subsidiaries, manufactures, markets, distributes, and sells beverages in Thailand and internationally. The company's products primarily include carbonated and non-carbonated energy drinks, vitamin C drinks, and sport drinks, ready-to-drink coffee, and drinking water under the Carabao, Carabao Sport, and Woody C+ Lock brands. It also manufactures and distributes bottles and glass products and aluminum cans; and packaging products for energy drinks and other beverages. In addition, the company involved in the investment, data and distribution management, and trading activities. Carabao Group Public Company Limited was founded in 2001 and is headquartered in Bangkok, Thailand.",,
Srisawad Corporation Public Company Limited,Financial Services,Credit Services,42783805440,"Srisawad Corporation Public Company Limited, together with its subsidiaries, provides financial services in Thailand and internationally. The company provides hire-purchase, loan granting, non-performing assets management, PICO finance loan, and management and consulting services for retail credit systems; credit sales; and insurance products. It also offers loan and debt collection, leasing, and digital loan platform services; and secured loans. In addition, the company provides loans secured by houses, land, townhouses and condominiums, and various old vehicles, including motorcycles, commercial cars, trucks, and public buses, as well as vehicles for agricultural purposes. Further, it invests in other companies. The company was formerly known as Srisawad Power 1979 Public Company Limited and changed its name to Srisawad Corporation Public Company Limited in July 2017. Srisawad Corporation Public Company Limited was founded in 1979 and is based in Bangkok, Thailand.",,
Central Plaza Hotel Public Company Limited,Consumer Cyclical,Resorts & Casinos,41849999360,"Central Plaza Hotel Public Company Limited, together with its subsidiaries, engages in the hotel business in Thailand, the Republic of Maldives, and Japan. It operates in two segments, Hotel and Related Services Operation; and Food and Ice-Cream. It is also involved in the food and beverage, hotel management, import and export, and labour contracting businesses, as well as operates learning centre. The company was founded in 1980 and is based in Bangkok, Thailand.",,
Land and Houses Public Company Limited,Real Estate,Real Estate - Development,41823997952,"Land and Houses Public Company Limited, together with its subsidiaries, engages in the property development activities in Thailand and the United States of America. It operates through two segments, Real Estate Business, and Rental and Service Business. The Real Estate Business segment develops and sells single detached houses, duo homes, townhouses, and residence condominium projects. Its Rental and Service Business segment is involved in the rental of shopping malls, hotels, and apartments. The company also offers project administration and management; and home repair services, as well as operates hotels. Land and Houses Public Company Limited was founded in 1973 and is headquartered in Bangkok, Thailand.",,
Bangchak Corporation Public Company Limited,Energy,Oil & Gas Refining & Marketing,40538640384,"Bangchak Corporation Public Company Limited engages in the refining and marketing of petroleum products in Thailand, Singapore, Norway, Korea, Laos, and internationally. It operates through Refinery and Oil Trading, Marketing, Electricity, Bio-Based Product, Natural Resource, BSRC, and Others segments. The company explores and produces petroleum products; manufactures and distributes electricity from solar cells, biodiesel, ethanol, biogas, bio-based products, biofuel, and aviation fuel; invests in alternative energy business and energy innovation startups; and operates oil terminals and seaports. It also provides electric motorcycle, battery replacement, public utilities, and energy services; operates oil refineries, solar and wind power plants, solar farms and rooftops, and a food and drink business; installs and manages direct cooling systems; manages service stations; trades in crude oil, petroleum products, petrochemicals, and other chemicals; supplies and distributes liquified natural gas; and engages in lithium mining, recruitment, and human resource management services. In addition, the company operates contract development and manufacturing organization platform for synthetic biology products with fermentation technology; fuel delivery service through an underground fuel pipeline system; and treasury center. Further, it is involved in the procurement of raw materials; purchase of agricultural produce and organic crops for processing, marketing, distribution, and research and development; and planning and refinery management services. The company sells its products through oil traders. It serves the transportation, aviation, shipping, construction, industrial, and agriculture sectors. The company was formerly known as The Bangchak Petroleum Public Company Limited and changed its name to Bangchak Corporation Public Company Limited in April 2017. Bangchak Corporation Public Company Limited was founded in 1984 and is headquartered in Bangkok, Thailand.",,
BTS Group Holdings Public Company Limited,Industrials,Railroads,40234508288,"BTS Group Holdings Public Company Limited engages in mass transportation, marketing, and other businesses in Thailand. It operates in three segments: Move, Mix, and Match. The Move segment operates and maintains BTS Sky Train system; constructs, installs, operates, and maintains electric rails; and provides train procurement services and other related, and bus rapid transit services. Its Mix segment offers marketing solutions through offline and online media; advertising, digital, and sales services; system installation and integration services; and insurance brokerage services for offline and online distribution channels, as well as services related to rabbit card. The Match segment offers investment in various businesses, such as hotel business, rental business, management business real estate for sale business, insurance business, asset management business restaurants operations, construction service business, golf course services, system installation service business, and other services business. The company invests in the securities of other companies; and provides management and consultancy, real estate development and financial services business, property development, architecture and engineering work consultancy, office space rental, ecommerce, electronic payment, electronic money, bill payment, and CRM loyalty program and coupon kiosks services, as well as lending services through digital platform. In addition, it publishes and distributes books for edutainment; develops software and provides technology and system integration services; and manages food and beverage businesses, as well as involved in cleaning services business. The company was formerly known as Tanayong Public Company Limited and changed its name to BTS Group Holdings Public Company Limited in May 2010. BTS Group Holdings Public Company Limited was founded in 1968 and is headquartered in Bangkok, Thailand.",,
B.Grimm Power Public Company Limited,Utilities,Utilities - Independent Power Producers,36496601088,"B.Grimm Power Public Company Limited, an energy company, with its subsidiaries, engages in the development, financing, construction, and operation of green-field power plants in Thailand and internationally. It operates in two segments, Electricity Generating and Other Businesses. The Electricity Generation segment generates and distributes electricity for the government sectors and industrial users and procure and wholesale liquefied natural gas. The Other Businesses segment provides investment holding, maintenance and operating services for power plants. The company generates electricity through co-generation, solar, hydro, wind, hybrid, and waste to energy sources. It also engages in the developing battery energy storage system (BESS) project with 218 MW installed capacity. The company was founded in 1878 and is headquartered in Bangkok, Thailand.",,
Siam Global House Public Company Limited,Consumer Cyclical,Home Improvement Retail,36192899072,"Siam Global House Public Company Limited engages in the merchandising of construction materials, home decorative products, and tools and equipment in Thailand, Kingdom of Cambodia, Republic of the Union of Myanmar, and Republic of Indonesia. The company offers air condition; refrigerator, freezer, and hot/cold dispenser; washing machine and dryer; fan; exhaust fan; vacuum cleaner/steam cleaner; dry and steam iron; water heater; heater; microwave; oven; cooking tools; food processor; kitchen appliances; and electricity products. It also provides doors, door and window frames, safety steel, door and windows accessories, and windows; prefabricated structure work; lightweight and paving block; construction materials and chemical; water pipe and accessories, equipment joint, swimming pool equipment, water installation equipment; clothes storage, plasticwares, curtain rail and accessories, curtain, home decoration products, carpet, linoleum, wallpaper and stickers, key cabinet/letter box, and religious supplies; and babies and children products. In addition, the company offers outdoor, living room, office, bedroom, kitchen room, and home furniture, as well as furniture accessories; air tools, industrial tool, measurement tool, labour-saving device, safety equipment, hardware equipment, power and craftsman tool, straps and moving belt, and automotive equipment; sanitary ware, faucet and shower, curtain rail, basin, bathtub and shower enclosure, spare parts/radiator equipment, as well as bathroom mirror, cabinets, storage, equipment, and rug. Further, it provides television and accessories, loud speaker, and microphone; agricultural and gardening equipment; electrical equipment; floor and wall, kitchen, steel, bedroom, pet products; lamp and lighting; mortar; panting and chemical; sports and recreation; storage and cleaning; toys and fashion; consumer products; and installations services. The company was incorporated in 2008 and is headquartered in Mueang Roi Et, Thailand.",,
Supalai Public Company Limited,Real Estate,Real Estate - Development,32855418880,"Supalai Public Company Limited, together with its subsidiaries, engages in the property development business in Thailand and Australia. It operates through Real estate Business and Hotel Business and Management segments. The company owns and operates housing projects, including detached houses, duplex houses, townhouses, and condominiums, as well as develops office buildings, resorts, and hotels for commercial purposes under the Supalai brand. It also manages hotels; develops shopping centers; invests in securities; deals and trades in land and real estate properties; and offers rental and leasing services for real estate properties. Supalai Public Company Limited was founded in 1989 and is headquartered in Bangkok, Thailand.",,
Mega Lifesciences Public Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,29643563008,"Mega Lifesciences Public Company Limited, together with its subsidiaries, manufactures and sells health food supplements, prescription pharmaceutical products, over-the-counter products, herbal products, vitamins, and fast-moving consumer goods in Southeast Asia and Sub-Saharan Africa. The company operates in three segments: Brands, Distribution, and Original Equipment Manufacture (OEM). It provides various medicines for allergies; blood circulation and memory; bone and joint; liver and digestive; diabetics; eyes, heart, and skin care; pain, sleeping, well-being, herbal, and cough and colds; and vitamins, probiotics, medical and sports nutrition, as well as kids', men's, and women's care products. The company also offers prescription medicines in the areas of anti-allergic, anti-infective, central nervous system, cardiovascular system, dermatology, diabetes, gastroenterology, gynecology, nephrology, oncology, ophthalmology, orthopedic, pain, respiratory, rheumatology, and urology. In addition, it provides logistical and marketing services for the sale of goods manufactured by third parties, social enterprise, and wellness center, as well as involved in the software design, development, and other services business. The company was incorporated in 1982 and is headquartered in Bangkok, Thailand. Mega Lifesciences Public Company Limited operates as a subsidiary of Unistretch Limited.",,
AP (Thailand) Public Company Limited,Real Estate,Real Estate - Development,27054737408,"AP (Thailand) Public Company Limited, together with its subsidiaries, engages in the provision of real estate development business in Thailand. It operates through three segments: LowRise; HighRise; and Other. The LowRise segment is involved in the development of single detached houses and townhouses. The HighRise segment develops condominiums. The Other segment provides after-sales, property brokerage, and construction services. This segment also offers education and training services. The company was formerly known as Asian Property Development Public Company Limited and changed its name to AP (Thailand) Public Company Limited in May 2013. AP (Thailand) Public Company Limited was founded in 1984 and is based in Bangkok, Thailand.",,
Star Petroleum Refining Public Company Limited,Energy,Oil & Gas Refining & Marketing,25365026816,"Star Petroleum Refining Public Company Limited operates a petroleum refinery in the Rayong Province of Thailand. The company operates through Refinery and Petroleum Product Distribution segments. It produces and sells petroleum products, including liquefied petroleum gas, gasoline, diesel, jet fuel, fuel oil, asphalt, and others. The company also distributes various fuels, including premium and regular diesel, gasohol, unleaded gasoline, commercial and industrial fuels, and aviation fuel under the Caltex brand. In addition, it offers property management services. Star Petroleum Refining Public Company Limited was founded in 1992 and is headquartered in Mueang Rayong, Thailand. Star Petroleum Refining Public Company Limited operates as a subsidiary of Chevron South Asia Holdings Pte Ltd.",,
KCE Electronics Public Company Limited,Technology,Electronic Components,25178486784,"KCE Electronics Public Company Limited, together with its subsidiaries, manufactures and distributes electric printed circuit boards (PCBs) under the KCE trademark in America, Europe, and Asia. It operates in three segments: Manufacturing and Distributing of Prepreg and Laminate, Manufacturing and Distributing of Printed Circuit Board, and Manufacturing and Distributing of Chemical. The company's PCBs are manufactured from copper clad laminates that are used in various applications, including automotive, industrial, computer, and telecom systems. It also manufactures and distributes chemicals products, and prepreg and laminate products, as well as engages in the rental of buildings. The company was formerly known as Kuang Charoen Electronics Company Limited. KCE Electronics Public Company Limited was founded in 1982 and is based in Bangkok, Thailand.",,
Bangkok Chain Hospital Public Company Limited,Healthcare,Medical Care Facilities,24815300608,"Bangkok Chain Hospital Public Company Limited, together with its subsidiaries, operates private hospitals in Bangkok vicinity, Chiang Rai, Saraburi, Nonthaburi, Pathumthani, Ayudhaya, Chachoengsao, Prachinburi, Sa Kaeo Province, and Lao People's Democratic Republic. It offers diagnosis, treatment, prevention, rehabilitation services for heart disease; open heart surgery to provide heart care and clinical treatment by cardiologists; and medical supports. The company also operates diagnostic imaging centers; eye centers that provide eye examination, treatment, and surgery services; cancer centers that offer services ranging from screening, diagnosis, and chemotherapy; fertility centers for infertility treatment, as well as diabetic wound treatment centers. In addition, the company sells health-related drinks; provides medical analysis and research services; and develops package computer programs. The company was founded in 1984 and is headquartered in Nonthaburi, Thailand.",,
Bangkok Commercial Asset Management Public Company Limited,Financial Services,Asset Management,24563521536,"Bangkok Commercial Asset Management Public Company Limited operates as an asset management company in Thailand. It operates through Non-Performing Loans (NPLs); and Non-Performing Assets (NPAs) and Investments in Securities segments. The company purchases or transfers NPLs and NPAs for management or for further disposal or transfer. It also acquires and transfers NPLs from financial institutions to manage through debt negotiation practices. In addition, the company is involved in the acquisition and transfer of NPAs from financial institutions; transfers of assets from debt settlement; and purchase of collateral at auction from the legal execution department with an emphasis on adding value. The company was founded in 1998 and is headquartered in Bangkok, Thailand.",,
Sansiri Public Company Limited,Real Estate,Real Estate - Development,23539437568,"Sansiri Public Company Limited, together with its subsidiaries, engages in the property development business in Thailand. The company operates through Property Development Business; Building Management, Project Management, and Real Estate Brokerage Business; Hotel Management; and Other Business segments. It develops single-detached and semi-detached houses, townhomes, home offices, and condominium projects; and invests in leasehold commercial building under the Habito Mall retail name, which includes various retails shops and restaurants. The company also offers property and asset management services, including property brokerage services, property sales management, property development consultancy, and property management; building inspection services; lifestyle concierge service for individuals and corporates; and event management and wedding planning services, as well as engages in hospitality business; and educational business under the Satit Pattana School name. In addition, it is involved in the investment business, which invests in future, such as way of life, work, recreation, and learning through new technologies and media. Further, the company provides administrative, restaurant club management, and smart surveillance technology services; engages in the wholesale distribution of standard branded products, as well as E-commerce and retail activities. Additionally, it is involved in the land and housing projects, residential condominium projects, and rental of serviced apartments and office buildings. Sansiri Public Company Limited was founded in 1984 and is headquartered in Bangkok, Thailand.",,
Regional Container Lines Public Company Limited,Industrials,Marine Shipping,22583437312,"Regional Container Lines Public Company Limited, together with its subsidiaries, engages in the feeder and vessel operations in Thailand, Singapore, Hong Kong, the People's Republic of China, Taiwan, and internationally. It also offers sea freight services for oversized cargo and dangerous goods; and logistics solutions comprising ocean freight/air freight/cross border, inland haulage, multiple drop pick up/delivery, domestic transportation, warehouse management and storage, consolidation centre, order fulfillment, packing, loading/unloading, container inspection, fumigation, import/export documentation, customs clearance, and license application services. In addition, the company provides consulting, ship management, cargo consolidation and operation, shipping agency, and transportation and cargo handling services. As of December 31, 2024, its fleet consisted of 46 container vessels covering Northeast Asia, Southeast Asia, Indian sub-continent, South Asia, the Middle East, the Red Sea, and East Africa. Regional Container Lines Public Company Limited was founded in 1979 and is headquartered in Bangkok, Thailand.",,
VGI Public Company Limited,Industrials,Conglomerates,22156349440,"VGI Public Company Limited, together with its subsidiaries, engages in the arrangement and provision of advertising services in Thailand. It operates in four segments: Transit, Digital Service, Distribution, and Other. The Transit segment offers advertising services in BTS stations, inside BTS trains, on BTS train bodies, and on BTS columns; and leases retail and merchandising space at BTS stations. Its Digital Service segment provides online advertising, data management, electronic payment services, and other finance services, such as non-life and online car insurance brokerage, and digital loans. The Distribution segment sells and distributes technologies products from China, including OEM products. Its Other segment offers advertising services in office buildings and others. The company also provides bill payment; lending services through digital platform under the Rabbit Cash brand; marketing; advertising media consulting and agency; and management consulting services. In addition, the company invests in securities of other companies; and publishes and distributes books for entertainment. The company was formerly known as VGI Global Media Public Company Limited and changed its name to VGI Public Company Limited in August 2019. VGI Public Company Limited was founded in 1995 and is headquartered in Bangkok, Thailand.",,
Sri Trang Gloves (Thailand) Public Company Limited,Basic Materials,Specialty Chemicals,22153404416,"Sri Trang Gloves (Thailand) Public Company Limited, together with its subsidiaries, manufactures and distributes rubber gloves in Asia, North America, South America, Europe, and internationally. It operates in two segments, Gloves and Other Businesses. The company offers latex powdered, latex powder-free, nitrile powder-free, and gamma ray sterile examination gloves under various brand names for a range of applications, including healthcare and medical, agriculture and chemical, food processing and handling, manufacturing, and operations. It is also involved in the engineering business, including research and development of machinery and production processes; provision of information system services; and rental property business, as well as financial asset management and financial investment business. The company was incorporated in 1989 and is headquartered in Hat Yai, Thailand. Sri Trang Gloves (Thailand) Public Company Limited is a subsidiary of Sri Trang Agro-Industry Public Company Limited.",,
Tipco Asphalt Public Company Limited,Basic Materials,Building Materials,22097061888,"Tipco Asphalt Public Company Limited, together with its subsidiaries, engages in the manufacture and distribution of asphalt and petroleum products in Thailand and internationally. It operates through Manufacturing and Trading; and Construction Business segments. The company engages in manufacturing and trading of asphalt, petroleum oil, and asphalt concrete products. It is also involved in the refinery, storage, and tank rental of asphalt and petroleum products; shipping management and agency; distribution of machine, materials, and tools; road construction and rehabilitation services; and marine transportation services, as well as sale of construction materials. The company serves contractors, traders, terminal owners, and distributors. The company was founded in 1979 and is headquartered in Bangkok, Thailand.",,
